day,transactions
0,0
1,1
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,2
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,1
61,0
62,0
63,0
64,0
65,0
66,0
67,1
68,0
69,1
70,0
71,1
72,0
73,2
74,0
75,0
76,1
77,0
78,2
79,1
80,0
81,0
82,0
83,0
84,0
85,0
86,3
87,0
88,2
89,4
90,1
91,0
92,0
93,0
94,2
95,0
96,0
97,0
98,1
99,1
100,0
101,1
102,0
103,1
104,0
105,2
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,1
115,3
116,1
117,0
118,1
119,0
120,0
121,0
122,0
123,2
124,0
125,5
126,0
127,7
128,2
129,3
130,1
131,2
132,2
133,0
134,6
135,4
136,8
137,1
138,3
139,7
140,0
141,6
142,7
143,1
144,1
145,0
146,0
147,6
148,2
149,5
150,0
151,7
152,1
153,4
154,7
155,1
156,7
157,1
158,2
159,0
160,0
161,0
162,2
163,1
164,1
165,1
166,1
167,1
168,6
169,3
170,0
171,9
172,0
173,3
174,0
175,7
176,0
177,7
178,3
179,5
180,0
181,9
182,4
183,1
184,7
185,0
186,8
187,1
188,9
189,1
190,8
191,9
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,4
209,1
210,0
211,6
212,512
213,1067
214,861
215,223
216,64
217,109
218,108
219,119
220,54
221,10
222,3
223,7
224,14
225,31
226,19
227,9
228,61
229,52
230,53
231,44
232,28
233,24
234,24
235,29
236,37
237,17
238,23
239,21
240,50
241,25
242,31
243,193
244,138
245,128
246,113
247,125
248,117
249,102
250,96
251,102
252,121
253,114
254,69
255,78
256,110
257,213
258,259
259,205
260,228
261,227
262,209
263,229
264,361
265,187
266,67
267,58
268,66
269,72
270,82
271,21
272,17
273,17
274,23
275,28
276,36
277,63
278,51
279,66
280,56
281,47
282,51
283,49
284,44
285,45
286,48
287,56
288,49
289,70
290,68
291,67
292,51
293,64
294,77
295,55
296,58
297,51
298,34
299,47
300,35
301,21
302,40
303,32
304,23
305,29
306,14
307,17
308,22
309,27
310,21
311,16
312,23
313,22
314,22
315,25
316,20
317,5
318,18
319,32
320,8
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
